"","Sample","OTU","Genus","Abundance"
"1","1337_214_S214_L001","ASV00029","Oceaniserpentilla",8200
"2","1337_213_S213_L001","ASV00001","Clade Ia",3348
"3","1337_213_S213_L001","ASV00004","Synechococcus CC9902",3209
"4","1337_212_S212_L001","ASV00029","Oceaniserpentilla",2555
"5","1337_216_S216_L001","ASV00053","Colwellia",2522
"6","1337_216_S216_L001","ASV00048","Colwellia",2425
"7","1337_214_S214_L001","ASV00004","Synechococcus CC9902",2376
"8","1337_216_S216_L001","ASV00025","Pseudophaeobacter",2352
"9","1337_212_S212_L001","ASV00004","Synechococcus CC9902",2259
"10","1337_212_S212_L001","ASV00009","Glaciecola",2163
"11","1337_212_S212_L001","ASV00001","Clade Ia",2033
"12","1337_217_S217_L001","ASV00008","Shewanella",1899
"13","1337_213_S213_L001","ASV00002","Prochlorococcus MIT9313",1783
"14","1337_217_S217_L001","ASV00010","Shewanella",1781
"15","1337_216_S216_L001","ASV00029","Oceaniserpentilla",1704
"16","1337_214_S214_L001","ASV00001","Clade Ia",1582
"17","1337_213_S213_L001","ASV00003","Clade Ia",1573
"18","1337_217_S217_L001","ASV00012","Acinetobacter",1447
"19","1337_219_S219_L001","ASV00074","Colwellia",1403
"20","1337_212_S212_L001","ASV00025","Pseudophaeobacter",1370
"21","1337_214_S214_L001","ASV00002","Prochlorococcus MIT9313",1352
"22","1337_212_S212_L001","ASV00002","Prochlorococcus MIT9313",1117
"23","1337_214_S214_L001","ASV00025","Pseudophaeobacter",1089
"24","1337_212_S212_L001","ASV00003","Clade Ia",1008
"25","1337_214_S214_L001","ASV00009","Glaciecola",978
"26","1337_214_S214_L001","ASV00003","Clade Ia",828
"27","1337_216_S216_L001","ASV00001","Clade Ia",808
"28","1337_216_S216_L001","ASV00074","Colwellia",797
"29","1337_219_S219_L001","ASV00001","Clade Ia",783
"30","1337_216_S216_L001","ASV00004","Synechococcus CC9902",734
"31","1337_219_S219_L001","ASV00008","Shewanella",638
"32","1337_214_S214_L001","ASV00053","Colwellia",582
"33","1337_219_S219_L001","ASV00010","Shewanella",572
"34","1337_214_S214_L001","ASV00048","Colwellia",471
"35","1337_219_S219_L001","ASV00012","Acinetobacter",463
"36","1337_212_S212_L001","ASV00048","Colwellia",410
"37","1337_219_S219_L001","ASV00003","Clade Ia",406
"38","1337_212_S212_L001","ASV00053","Colwellia",384
"39","1337_216_S216_L001","ASV00003","Clade Ia",357
"40","1337_217_S217_L001","ASV00074","Colwellia",327
"41","1337_219_S219_L001","ASV00004","Synechococcus CC9902",254
"42","1337_219_S219_L001","ASV00025","Pseudophaeobacter",249
"43","1337_217_S217_L001","ASV00001","Clade Ia",181
"44","1337_216_S216_L001","ASV00008","Shewanella",177
"45","1337_217_S217_L001","ASV00004","Synechococcus CC9902",174
"46","1337_219_S219_L001","ASV00048","Colwellia",172
"47","1337_216_S216_L001","ASV00012","Acinetobacter",148
"48","1337_216_S216_L001","ASV00002","Prochlorococcus MIT9313",147
"49","1337_214_S214_L001","ASV00074","Colwellia",145
"50","1337_217_S217_L001","ASV00003","Clade Ia",130
"51","1337_217_S217_L001","ASV00048","Colwellia",128
"52","1337_216_S216_L001","ASV00010","Shewanella",120
"53","1337_217_S217_L001","ASV00025","Pseudophaeobacter",104
"54","1337_219_S219_L001","ASV00029","Oceaniserpentilla",80
"55","1337_219_S219_L001","ASV00002","Prochlorococcus MIT9313",77
"56","1337_219_S219_L001","ASV00053","Colwellia",77
"57","1337_213_S213_L001","ASV00008","Shewanella",71
"58","1337_213_S213_L001","ASV00010","Shewanella",60
"59","1337_217_S217_L001","ASV00053","Colwellia",57
"60","1337_212_S212_L001","ASV00008","Shewanella",53
"61","1337_212_S212_L001","ASV00074","Colwellia",51
"62","1337_216_S216_L001","ASV00009","Glaciecola",47
"63","1337_214_S214_L001","ASV00008","Shewanella",41
"64","1337_217_S217_L001","ASV00029","Oceaniserpentilla",41
"65","1337_212_S212_L001","ASV00012","Acinetobacter",39
"66","1337_212_S212_L001","ASV00010","Shewanella",37
"67","1337_217_S217_L001","ASV00002","Prochlorococcus MIT9313",37
"68","1337_214_S214_L001","ASV00010","Shewanella",35
"69","1337_213_S213_L001","ASV00012","Acinetobacter",26
"70","1337_214_S214_L001","ASV00012","Acinetobacter",26
"71","1337_213_S213_L001","ASV00048","Colwellia",24
"72","1337_219_S219_L001","ASV00009","Glaciecola",19
"73","1337_213_S213_L001","ASV00074","Colwellia",15
"74","1337_213_S213_L001","ASV00009","Glaciecola",0
"75","1337_213_S213_L001","ASV00025","Pseudophaeobacter",0
"76","1337_213_S213_L001","ASV00029","Oceaniserpentilla",0
"77","1337_213_S213_L001","ASV00053","Colwellia",0
"78","1337_217_S217_L001","ASV00009","Glaciecola",0
"79","1337_218_S218_L001","ASV00001","Clade Ia",0
"80","1337_218_S218_L001","ASV00002","Prochlorococcus MIT9313",0
"81","1337_218_S218_L001","ASV00003","Clade Ia",0
"82","1337_218_S218_L001","ASV00004","Synechococcus CC9902",0
"83","1337_218_S218_L001","ASV00008","Shewanella",0
"84","1337_218_S218_L001","ASV00009","Glaciecola",0
"85","1337_218_S218_L001","ASV00010","Shewanella",0
"86","1337_218_S218_L001","ASV00012","Acinetobacter",0
"87","1337_218_S218_L001","ASV00025","Pseudophaeobacter",0
"88","1337_218_S218_L001","ASV00029","Oceaniserpentilla",0
"89","1337_218_S218_L001","ASV00048","Colwellia",0
"90","1337_218_S218_L001","ASV00053","Colwellia",0
"91","1337_218_S218_L001","ASV00074","Colwellia",0
