"","Sample","OTU","Genus","Abundance"
"1","1337_238_S238_L001","ASV00009","Glaciecola",19787
"2","1337_243_S243_L001","ASV00014","Alteromonas",19763
"3","1337_243_S243_L001","ASV00013","Alteromonas",19544
"4","1337_243_S243_L001","ASV00031","Alteromonas",10043
"5","1337_237_S237_L001","ASV00043","Pseudoalteromonas",5733
"6","1337_238_S238_L001","ASV00040","Marinomonas",4395
"7","1337_242_S242_L001","ASV00040","Marinomonas",4032
"8","1337_240_S240_L001","ASV00040","Marinomonas",4024
"9","1337_240_S240_L001","ASV00025","Pseudophaeobacter",3882
"10","1337_237_S237_L001","ASV00040","Marinomonas",3410
"11","1337_237_S237_L001","ASV00009","Glaciecola",2895
"12","1337_242_S242_L001","ASV00025","Pseudophaeobacter",2659
"13","1337_240_S240_L001","ASV00074","Colwellia",2089
"14","1337_240_S240_L001","ASV00043","Pseudoalteromonas",1928
"15","1337_242_S242_L001","ASV00074","Colwellia",1916
"16","1337_237_S237_L001","ASV00025","Pseudophaeobacter",1748
"17","1337_238_S238_L001","ASV00068","Glaciecola",1739
"18","1337_242_S242_L001","ASV00009","Glaciecola",819
"19","1337_238_S238_L001","ASV00025","Pseudophaeobacter",658
"20","1337_238_S238_L001","ASV00043","Pseudoalteromonas",595
"21","1337_242_S242_L001","ASV00043","Pseudoalteromonas",516
"22","1337_237_S237_L001","ASV00001","Clade Ia",447
"23","1337_238_S238_L001","ASV00001","Clade Ia",387
"24","1337_237_S237_L001","ASV00074","Colwellia",373
"25","1337_238_S238_L001","ASV00002","Prochlorococcus MIT9313",291
"26","1337_237_S237_L001","ASV00002","Prochlorococcus MIT9313",276
"27","1337_237_S237_L001","ASV00003","Clade Ia",191
"28","1337_239_S239_L001","ASV00043","Pseudoalteromonas",156
"29","1337_237_S237_L001","ASV00068","Glaciecola",145
"30","1337_238_S238_L001","ASV00003","Clade Ia",145
"31","1337_239_S239_L001","ASV00009","Glaciecola",111
"32","1337_239_S239_L001","ASV00040","Marinomonas",95
"33","1337_238_S238_L001","ASV00074","Colwellia",80
"34","1337_240_S240_L001","ASV00001","Clade Ia",77
"35","1337_240_S240_L001","ASV00009","Glaciecola",47
"36","1337_242_S242_L001","ASV00068","Glaciecola",46
"37","1337_242_S242_L001","ASV00002","Prochlorococcus MIT9313",45
"38","1337_242_S242_L001","ASV00001","Clade Ia",44
"39","1337_239_S239_L001","ASV00001","Clade Ia",38
"40","1337_239_S239_L001","ASV00025","Pseudophaeobacter",32
"41","1337_239_S239_L001","ASV00074","Colwellia",22
"42","1337_242_S242_L001","ASV00003","Clade Ia",19
"43","1337_240_S240_L001","ASV00013","Alteromonas",18
"44","1337_237_S237_L001","ASV00013","Alteromonas",10
"45","1337_237_S237_L001","ASV00031","Alteromonas",7
"46","1337_240_S240_L001","ASV00014","Alteromonas",5
"47","1337_237_S237_L001","ASV00014","Alteromonas",3
"48","1337_236_S236_L001","ASV00001","Clade Ia",0
"49","1337_236_S236_L001","ASV00002","Prochlorococcus MIT9313",0
"50","1337_236_S236_L001","ASV00003","Clade Ia",0
"51","1337_236_S236_L001","ASV00009","Glaciecola",0
"52","1337_236_S236_L001","ASV00013","Alteromonas",0
"53","1337_236_S236_L001","ASV00014","Alteromonas",0
"54","1337_236_S236_L001","ASV00025","Pseudophaeobacter",0
"55","1337_236_S236_L001","ASV00031","Alteromonas",0
"56","1337_236_S236_L001","ASV00040","Marinomonas",0
"57","1337_236_S236_L001","ASV00043","Pseudoalteromonas",0
"58","1337_236_S236_L001","ASV00068","Glaciecola",0
"59","1337_236_S236_L001","ASV00074","Colwellia",0
"60","1337_238_S238_L001","ASV00013","Alteromonas",0
"61","1337_238_S238_L001","ASV00014","Alteromonas",0
"62","1337_238_S238_L001","ASV00031","Alteromonas",0
"63","1337_239_S239_L001","ASV00002","Prochlorococcus MIT9313",0
"64","1337_239_S239_L001","ASV00003","Clade Ia",0
"65","1337_239_S239_L001","ASV00013","Alteromonas",0
"66","1337_239_S239_L001","ASV00014","Alteromonas",0
"67","1337_239_S239_L001","ASV00031","Alteromonas",0
"68","1337_239_S239_L001","ASV00068","Glaciecola",0
"69","1337_240_S240_L001","ASV00002","Prochlorococcus MIT9313",0
"70","1337_240_S240_L001","ASV00003","Clade Ia",0
"71","1337_240_S240_L001","ASV00031","Alteromonas",0
"72","1337_240_S240_L001","ASV00068","Glaciecola",0
"73","1337_242_S242_L001","ASV00013","Alteromonas",0
"74","1337_242_S242_L001","ASV00014","Alteromonas",0
"75","1337_242_S242_L001","ASV00031","Alteromonas",0
"76","1337_243_S243_L001","ASV00001","Clade Ia",0
"77","1337_243_S243_L001","ASV00002","Prochlorococcus MIT9313",0
"78","1337_243_S243_L001","ASV00003","Clade Ia",0
"79","1337_243_S243_L001","ASV00009","Glaciecola",0
"80","1337_243_S243_L001","ASV00025","Pseudophaeobacter",0
"81","1337_243_S243_L001","ASV00040","Marinomonas",0
"82","1337_243_S243_L001","ASV00043","Pseudoalteromonas",0
"83","1337_243_S243_L001","ASV00068","Glaciecola",0
"84","1337_243_S243_L001","ASV00074","Colwellia",0
