"","Sample","OTU","Genus","Abundance"
"1","1337_228_S228_L001","ASV00009","Glaciecola",15630
"2","1337_231_S231_L001","ASV00007","Limosilactobacillus",9558
"3","1337_228_S228_L001","ASV00068","Glaciecola",7984
"4","1337_232_S232_L001","ASV00064","Vibrio",5794
"5","1337_231_S231_L001","ASV00016","Escherichia-Shigella",4829
"6","1337_231_S231_L001","ASV00015","Salmonella",4755
"7","1337_229_S229_L001","ASV00008","Shewanella",3080
"8","1337_235_S235_L001","ASV00025","Pseudophaeobacter",3019
"9","1337_230_S230_L001","ASV00004","Synechococcus CC9902",2851
"10","1337_229_S229_L001","ASV00010","Shewanella",2811
"11","1337_233_S233_L001","ASV00008","Shewanella",2588
"12","1337_230_S230_L001","ASV00009","Glaciecola",2429
"13","1337_230_S230_L001","ASV00025","Pseudophaeobacter",2425
"14","1337_234_S234_L001","ASV00029","Oceaniserpentilla",2379
"15","1337_229_S229_L001","ASV00001","Clade Ia",2266
"16","1337_233_S233_L001","ASV00010","Shewanella",2205
"17","1337_228_S228_L001","ASV00316","Neptuniibacter",2012
"18","1337_234_S234_L001","ASV00025","Pseudophaeobacter",1984
"19","1337_235_S235_L001","ASV00053","Colwellia",1907
"20","1337_232_S232_L001","ASV00186","Alteromonas",1892
"21","1337_229_S229_L001","ASV00012","Acinetobacter",1886
"22","1337_235_S235_L001","ASV00048","Colwellia",1879
"23","1337_232_S232_L001","ASV00476","Oleibacter",1871
"24","1337_230_S230_L001","ASV00001","Clade Ia",1761
"25","1337_233_S233_L001","ASV00012","Acinetobacter",1540
"26","1337_228_S228_L001","ASV00186","Alteromonas",1477
"27","1337_230_S230_L001","ASV00029","Oceaniserpentilla",1275
"28","1337_232_S232_L001","ASV00009","Glaciecola",1119
"29","1337_235_S235_L001","ASV00001","Clade Ia",1109
"30","1337_230_S230_L001","ASV00053","Colwellia",1065
"31","1337_234_S234_L001","ASV00001","Clade Ia",997
"32","1337_234_S234_L001","ASV00048","Colwellia",971
"33","1337_234_S234_L001","ASV00009","Glaciecola",939
"34","1337_230_S230_L001","ASV00048","Colwellia",930
"35","1337_234_S234_L001","ASV00053","Colwellia",888
"36","1337_232_S232_L001","ASV00008","Shewanella",609
"37","1337_229_S229_L001","ASV00004","Synechococcus CC9902",590
"38","1337_232_S232_L001","ASV00316","Neptuniibacter",454
"39","1337_232_S232_L001","ASV00010","Shewanella",439
"40","1337_232_S232_L001","ASV00012","Acinetobacter",419
"41","1337_235_S235_L001","ASV00009","Glaciecola",407
"42","1337_228_S228_L001","ASV00064","Vibrio",393
"43","1337_235_S235_L001","ASV00029","Oceaniserpentilla",297
"44","1337_232_S232_L001","ASV00068","Glaciecola",294
"45","1337_234_S234_L001","ASV00004","Synechococcus CC9902",267
"46","1337_230_S230_L001","ASV00068","Glaciecola",255
"47","1337_228_S228_L001","ASV00001","Clade Ia",216
"48","1337_235_S235_L001","ASV00004","Synechococcus CC9902",207
"49","1337_234_S234_L001","ASV00008","Shewanella",177
"50","1337_229_S229_L001","ASV00064","Vibrio",130
"51","1337_234_S234_L001","ASV00010","Shewanella",129
"52","1337_234_S234_L001","ASV00012","Acinetobacter",104
"53","1337_230_S230_L001","ASV00186","Alteromonas",98
"54","1337_234_S234_L001","ASV00068","Glaciecola",91
"55","1337_228_S228_L001","ASV00008","Shewanella",78
"56","1337_233_S233_L001","ASV00001","Clade Ia",73
"57","1337_232_S232_L001","ASV00001","Clade Ia",60
"58","1337_233_S233_L001","ASV00064","Vibrio",59
"59","1337_228_S228_L001","ASV00012","Acinetobacter",53
"60","1337_228_S228_L001","ASV00010","Shewanella",52
"61","1337_235_S235_L001","ASV00068","Glaciecola",51
"62","1337_232_S232_L001","ASV00025","Pseudophaeobacter",47
"63","1337_233_S233_L001","ASV00025","Pseudophaeobacter",47
"64","1337_228_S228_L001","ASV00004","Synechococcus CC9902",39
"65","1337_232_S232_L001","ASV00029","Oceaniserpentilla",27
"66","1337_230_S230_L001","ASV00008","Shewanella",26
"67","1337_234_S234_L001","ASV00064","Vibrio",23
"68","1337_230_S230_L001","ASV00012","Acinetobacter",22
"69","1337_235_S235_L001","ASV00064","Vibrio",22
"70","1337_228_S228_L001","ASV00476","Oleibacter",21
"71","1337_229_S229_L001","ASV00053","Colwellia",17
"72","1337_233_S233_L001","ASV00029","Oceaniserpentilla",13
"73","1337_233_S233_L001","ASV00048","Colwellia",13
"74","1337_232_S232_L001","ASV00007","Limosilactobacillus",11
"75","1337_232_S232_L001","ASV00016","Escherichia-Shigella",8
"76","1337_230_S230_L001","ASV00064","Vibrio",7
"77","1337_228_S228_L001","ASV00007","Limosilactobacillus",0
"78","1337_228_S228_L001","ASV00015","Salmonella",0
"79","1337_228_S228_L001","ASV00016","Escherichia-Shigella",0
"80","1337_228_S228_L001","ASV00025","Pseudophaeobacter",0
"81","1337_228_S228_L001","ASV00029","Oceaniserpentilla",0
"82","1337_228_S228_L001","ASV00048","Colwellia",0
"83","1337_228_S228_L001","ASV00053","Colwellia",0
"84","1337_229_S229_L001","ASV00007","Limosilactobacillus",0
"85","1337_229_S229_L001","ASV00009","Glaciecola",0
"86","1337_229_S229_L001","ASV00015","Salmonella",0
"87","1337_229_S229_L001","ASV00016","Escherichia-Shigella",0
"88","1337_229_S229_L001","ASV00025","Pseudophaeobacter",0
"89","1337_229_S229_L001","ASV00029","Oceaniserpentilla",0
"90","1337_229_S229_L001","ASV00048","Colwellia",0
"91","1337_229_S229_L001","ASV00068","Glaciecola",0
"92","1337_229_S229_L001","ASV00186","Alteromonas",0
"93","1337_229_S229_L001","ASV00316","Neptuniibacter",0
"94","1337_229_S229_L001","ASV00476","Oleibacter",0
"95","1337_230_S230_L001","ASV00007","Limosilactobacillus",0
"96","1337_230_S230_L001","ASV00010","Shewanella",0
"97","1337_230_S230_L001","ASV00015","Salmonella",0
"98","1337_230_S230_L001","ASV00016","Escherichia-Shigella",0
"99","1337_230_S230_L001","ASV00316","Neptuniibacter",0
"100","1337_230_S230_L001","ASV00476","Oleibacter",0
"101","1337_231_S231_L001","ASV00001","Clade Ia",0
"102","1337_231_S231_L001","ASV00004","Synechococcus CC9902",0
"103","1337_231_S231_L001","ASV00008","Shewanella",0
"104","1337_231_S231_L001","ASV00009","Glaciecola",0
"105","1337_231_S231_L001","ASV00010","Shewanella",0
"106","1337_231_S231_L001","ASV00012","Acinetobacter",0
"107","1337_231_S231_L001","ASV00025","Pseudophaeobacter",0
"108","1337_231_S231_L001","ASV00029","Oceaniserpentilla",0
"109","1337_231_S231_L001","ASV00048","Colwellia",0
"110","1337_231_S231_L001","ASV00053","Colwellia",0
"111","1337_231_S231_L001","ASV00064","Vibrio",0
"112","1337_231_S231_L001","ASV00068","Glaciecola",0
"113","1337_231_S231_L001","ASV00186","Alteromonas",0
"114","1337_231_S231_L001","ASV00316","Neptuniibacter",0
"115","1337_231_S231_L001","ASV00476","Oleibacter",0
"116","1337_232_S232_L001","ASV00004","Synechococcus CC9902",0
"117","1337_232_S232_L001","ASV00015","Salmonella",0
"118","1337_232_S232_L001","ASV00048","Colwellia",0
"119","1337_232_S232_L001","ASV00053","Colwellia",0
"120","1337_233_S233_L001","ASV00004","Synechococcus CC9902",0
"121","1337_233_S233_L001","ASV00007","Limosilactobacillus",0
"122","1337_233_S233_L001","ASV00009","Glaciecola",0
"123","1337_233_S233_L001","ASV00015","Salmonella",0
"124","1337_233_S233_L001","ASV00016","Escherichia-Shigella",0
"125","1337_233_S233_L001","ASV00053","Colwellia",0
"126","1337_233_S233_L001","ASV00068","Glaciecola",0
"127","1337_233_S233_L001","ASV00186","Alteromonas",0
"128","1337_233_S233_L001","ASV00316","Neptuniibacter",0
"129","1337_233_S233_L001","ASV00476","Oleibacter",0
"130","1337_234_S234_L001","ASV00007","Limosilactobacillus",0
"131","1337_234_S234_L001","ASV00015","Salmonella",0
"132","1337_234_S234_L001","ASV00016","Escherichia-Shigella",0
"133","1337_234_S234_L001","ASV00186","Alteromonas",0
"134","1337_234_S234_L001","ASV00316","Neptuniibacter",0
"135","1337_234_S234_L001","ASV00476","Oleibacter",0
"136","1337_235_S235_L001","ASV00007","Limosilactobacillus",0
"137","1337_235_S235_L001","ASV00008","Shewanella",0
"138","1337_235_S235_L001","ASV00010","Shewanella",0
"139","1337_235_S235_L001","ASV00012","Acinetobacter",0
"140","1337_235_S235_L001","ASV00015","Salmonella",0
"141","1337_235_S235_L001","ASV00016","Escherichia-Shigella",0
"142","1337_235_S235_L001","ASV00186","Alteromonas",0
"143","1337_235_S235_L001","ASV00316","Neptuniibacter",0
"144","1337_235_S235_L001","ASV00476","Oleibacter",0
