"","Sample","OTU","Genus","Abundance"
"1","1337_238_S238_L001","ASV00009","Glaciecola",19787
"2","1337_243_S243_L001","ASV00014","Alteromonas",19763
"3","1337_243_S243_L001","ASV00013","Alteromonas",19544
"4","1337_228_S228_L001","ASV00009","Glaciecola",15630
"5","1337_243_S243_L001","ASV00031","Alteromonas",10043
"6","1337_231_S231_L001","ASV00007","Limosilactobacillus",9558
"7","1337_228_S228_L001","ASV00068","Glaciecola",7984
"8","1337_232_S232_L001","ASV00064","Vibrio",5794
"9","1337_237_S237_L001","ASV00043","Pseudoalteromonas",5733
"10","1337_231_S231_L001","ASV00016","Escherichia-Shigella",4829
"11","1337_231_S231_L001","ASV00015","Salmonella",4755
"12","1337_238_S238_L001","ASV00040","Marinomonas",4395
"13","1337_220_S220_L001","ASV00029","Oceaniserpentilla",4266
"14","1337_242_S242_L001","ASV00040","Marinomonas",4032
"15","1337_240_S240_L001","ASV00040","Marinomonas",4024
"16","1337_240_S240_L001","ASV00025","Pseudophaeobacter",3882
"17","1337_237_S237_L001","ASV00040","Marinomonas",3410
"18","1337_221_S221_L001","ASV00004","Synechococcus CC9902",3213
"19","1337_220_S220_L001","ASV00025","Pseudophaeobacter",3166
"20","1337_223_S223_L001","ASV00001","Clade Ia",3137
"21","1337_229_S229_L001","ASV00008","Shewanella",3080
"22","1337_220_S220_L001","ASV00004","Synechococcus CC9902",3076
"23","1337_235_S235_L001","ASV00025","Pseudophaeobacter",3019
"24","1337_237_S237_L001","ASV00009","Glaciecola",2895
"25","1337_230_S230_L001","ASV00004","Synechococcus CC9902",2851
"26","1337_222_S222_L001","ASV00008","Shewanella",2830
"27","1337_229_S229_L001","ASV00010","Shewanella",2811
"28","1337_222_S222_L001","ASV00001","Clade Ia",2701
"29","1337_242_S242_L001","ASV00025","Pseudophaeobacter",2659
"30","1337_221_S221_L001","ASV00025","Pseudophaeobacter",2654
"31","1337_233_S233_L001","ASV00008","Shewanella",2588
"32","1337_226_S226_L001","ASV00008","Shewanella",2516
"33","1337_221_S221_L001","ASV00009","Glaciecola",2486
"34","1337_221_S221_L001","ASV00029","Oceaniserpentilla",2460
"35","1337_230_S230_L001","ASV00009","Glaciecola",2429
"36","1337_230_S230_L001","ASV00025","Pseudophaeobacter",2425
"37","1337_234_S234_L001","ASV00029","Oceaniserpentilla",2379
"38","1337_222_S222_L001","ASV00010","Shewanella",2342
"39","1337_229_S229_L001","ASV00001","Clade Ia",2266
"40","1337_224_S224_L001","ASV00029","Oceaniserpentilla",2238
"41","1337_223_S223_L001","ASV00008","Shewanella",2211
"42","1337_227_S227_L001","ASV00008","Shewanella",2208
"43","1337_233_S233_L001","ASV00010","Shewanella",2205
"44","1337_220_S220_L001","ASV00001","Clade Ia",2130
"45","1337_240_S240_L001","ASV00074","Colwellia",2089
"46","1337_223_S223_L001","ASV00036","Synechococcus CC9902",2083
"47","1337_228_S228_L001","ASV00316","Neptuniibacter",2012
"48","1337_222_S222_L001","ASV00036","Synechococcus CC9902",1987
"49","1337_234_S234_L001","ASV00025","Pseudophaeobacter",1984
"50","1337_229_S229_L001","ASV00036","Synechococcus CC9902",1975
"51","1337_226_S226_L001","ASV00010","Shewanella",1955
"52","1337_240_S240_L001","ASV00043","Pseudoalteromonas",1928
"53","1337_242_S242_L001","ASV00074","Colwellia",1916
"54","1337_226_S226_L001","ASV00012","Acinetobacter",1911
"55","1337_221_S221_L001","ASV00001","Clade Ia",1910
"56","1337_225_S225_L001","ASV00025","Pseudophaeobacter",1907
"57","1337_235_S235_L001","ASV00053","Colwellia",1907
"58","1337_232_S232_L001","ASV00186","Alteromonas",1892
"59","1337_229_S229_L001","ASV00012","Acinetobacter",1886
"60","1337_235_S235_L001","ASV00048","Colwellia",1879
"61","1337_232_S232_L001","ASV00476","Oleibacter",1871
"62","1337_222_S222_L001","ASV00012","Acinetobacter",1847
"63","1337_227_S227_L001","ASV00010","Shewanella",1791
"64","1337_230_S230_L001","ASV00001","Clade Ia",1761
"65","1337_237_S237_L001","ASV00025","Pseudophaeobacter",1748
"66","1337_223_S223_L001","ASV00010","Shewanella",1746
"67","1337_238_S238_L001","ASV00068","Glaciecola",1739
"68","1337_237_S237_L001","ASV00048","Colwellia",1723
"69","1337_223_S223_L001","ASV00004","Synechococcus CC9902",1651
"70","1337_225_S225_L001","ASV00048","Colwellia",1616
"71","1337_233_S233_L001","ASV00012","Acinetobacter",1540
"72","1337_223_S223_L001","ASV00012","Acinetobacter",1527
"73","1337_224_S224_L001","ASV00025","Pseudophaeobacter",1526
"74","1337_221_S221_L001","ASV00053","Colwellia",1514
"75","1337_228_S228_L001","ASV00186","Alteromonas",1477
"76","1337_222_S222_L001","ASV00003","Clade Ia",1410
"77","1337_237_S237_L001","ASV00053","Colwellia",1410
"78","1337_225_S225_L001","ASV00053","Colwellia",1379
"79","1337_225_S225_L001","ASV00029","Oceaniserpentilla",1351
"80","1337_223_S223_L001","ASV00003","Clade Ia",1325
"81","1337_230_S230_L001","ASV00029","Oceaniserpentilla",1275
"82","1337_240_S240_L001","ASV00048","Colwellia",1269
"83","1337_242_S242_L001","ASV00064","Vibrio",1253
"84","1337_221_S221_L001","ASV00048","Colwellia",1168
"85","1337_232_S232_L001","ASV00009","Glaciecola",1119
"86","1337_235_S235_L001","ASV00001","Clade Ia",1109
"87","1337_225_S225_L001","ASV00001","Clade Ia",1105
"88","1337_229_S229_L001","ASV00003","Clade Ia",1101
"89","1337_220_S220_L001","ASV00003","Clade Ia",1085
"90","1337_227_S227_L001","ASV00012","Acinetobacter",1066
"91","1337_230_S230_L001","ASV00053","Colwellia",1065
"92","1337_221_S221_L001","ASV00002","Prochlorococcus MIT9313",1013
"93","1337_234_S234_L001","ASV00001","Clade Ia",997
"94","1337_242_S242_L001","ASV00048","Colwellia",987
"95","1337_234_S234_L001","ASV00048","Colwellia",971
"96","1337_234_S234_L001","ASV00009","Glaciecola",939
"97","1337_230_S230_L001","ASV00048","Colwellia",930
"98","1337_230_S230_L001","ASV00003","Clade Ia",893
"99","1337_240_S240_L001","ASV00053","Colwellia",892
"100","1337_234_S234_L001","ASV00053","Colwellia",888
"101","1337_221_S221_L001","ASV00003","Clade Ia",837
"102","1337_224_S224_L001","ASV00061",NA,827
"103","1337_242_S242_L001","ASV00009","Glaciecola",819
"104","1337_220_S220_L001","ASV00002","Prochlorococcus MIT9313",784
"105","1337_228_S228_L001","ASV00043","Pseudoalteromonas",772
"106","1337_234_S234_L001","ASV00061",NA,758
"107","1337_230_S230_L001","ASV00002","Prochlorococcus MIT9313",757
"108","1337_225_S225_L001","ASV00061",NA,747
"109","1337_224_S224_L001","ASV00074","Colwellia",743
"110","1337_237_S237_L001","ASV00004","Synechococcus CC9902",730
"111","1337_225_S225_L001","ASV00074","Colwellia",688
"112","1337_235_S235_L001","ASV00074","Colwellia",659
"113","1337_238_S238_L001","ASV00025","Pseudophaeobacter",658
"114","1337_222_S222_L001","ASV00004","Synechococcus CC9902",655
"115","1337_238_S238_L001","ASV00004","Synechococcus CC9902",617
"116","1337_242_S242_L001","ASV00053","Colwellia",615
"117","1337_232_S232_L001","ASV00008","Shewanella",609
"118","1337_238_S238_L001","ASV00043","Pseudoalteromonas",595
"119","1337_229_S229_L001","ASV00004","Synechococcus CC9902",590
