"","Sample","OTU","Genus","Abundance"
"1","1337_238_S238_L001","ASV00009","Glaciecola",19787
"2","1337_243_S243_L001","ASV00014","Alteromonas",19763
"3","1337_243_S243_L001","ASV00013","Alteromonas",19544
"4","1337_243_S243_L001","ASV00031","Alteromonas",10043
"5","1337_214_S214_L001","ASV00029","Oceaniserpentilla",8200
"6","1337_237_S237_L001","ASV00043","Pseudoalteromonas",5733
"7","1337_238_S238_L001","ASV00040","Marinomonas",4395
"8","1337_220_S220_L001","ASV00029","Oceaniserpentilla",4266
"9","1337_242_S242_L001","ASV00040","Marinomonas",4032
"10","1337_240_S240_L001","ASV00040","Marinomonas",4024
"11","1337_240_S240_L001","ASV00025","Pseudophaeobacter",3882
"12","1337_237_S237_L001","ASV00040","Marinomonas",3410
"13","1337_213_S213_L001","ASV00001","Clade Ia",3348
"14","1337_221_S221_L001","ASV00004","Synechococcus CC9902",3213
"15","1337_213_S213_L001","ASV00004","Synechococcus CC9902",3209
"16","1337_220_S220_L001","ASV00025","Pseudophaeobacter",3166
"17","1337_223_S223_L001","ASV00001","Clade Ia",3137
"18","1337_220_S220_L001","ASV00004","Synechococcus CC9902",3076
"19","1337_237_S237_L001","ASV00009","Glaciecola",2895
"20","1337_222_S222_L001","ASV00008","Shewanella",2830
"21","1337_222_S222_L001","ASV00001","Clade Ia",2701
"22","1337_242_S242_L001","ASV00025","Pseudophaeobacter",2659
"23","1337_221_S221_L001","ASV00025","Pseudophaeobacter",2654
"24","1337_212_S212_L001","ASV00029","Oceaniserpentilla",2555
"25","1337_216_S216_L001","ASV00053","Colwellia",2522
"26","1337_226_S226_L001","ASV00008","Shewanella",2516
"27","1337_221_S221_L001","ASV00009","Glaciecola",2486
"28","1337_221_S221_L001","ASV00029","Oceaniserpentilla",2460
"29","1337_216_S216_L001","ASV00048","Colwellia",2425
"30","1337_214_S214_L001","ASV00004","Synechococcus CC9902",2376
"31","1337_216_S216_L001","ASV00025","Pseudophaeobacter",2352
"32","1337_222_S222_L001","ASV00010","Shewanella",2342
"33","1337_212_S212_L001","ASV00004","Synechococcus CC9902",2259
"34","1337_224_S224_L001","ASV00029","Oceaniserpentilla",2238
"35","1337_223_S223_L001","ASV00008","Shewanella",2211
"36","1337_227_S227_L001","ASV00008","Shewanella",2208
"37","1337_212_S212_L001","ASV00009","Glaciecola",2163
"38","1337_220_S220_L001","ASV00001","Clade Ia",2130
"39","1337_240_S240_L001","ASV00074","Colwellia",2089
"40","1337_223_S223_L001","ASV00036","Synechococcus CC9902",2083
"41","1337_212_S212_L001","ASV00001","Clade Ia",2033
"42","1337_222_S222_L001","ASV00036","Synechococcus CC9902",1987
"43","1337_226_S226_L001","ASV00010","Shewanella",1955
"44","1337_240_S240_L001","ASV00043","Pseudoalteromonas",1928
"45","1337_242_S242_L001","ASV00074","Colwellia",1916
"46","1337_226_S226_L001","ASV00012","Acinetobacter",1911
"47","1337_221_S221_L001","ASV00001","Clade Ia",1910
"48","1337_225_S225_L001","ASV00025","Pseudophaeobacter",1907
"49","1337_217_S217_L001","ASV00008","Shewanella",1899
"50","1337_222_S222_L001","ASV00012","Acinetobacter",1847
"51","1337_227_S227_L001","ASV00010","Shewanella",1791
"52","1337_213_S213_L001","ASV00002","Prochlorococcus MIT9313",1783
"53","1337_217_S217_L001","ASV00010","Shewanella",1781
"54","1337_237_S237_L001","ASV00025","Pseudophaeobacter",1748
"55","1337_223_S223_L001","ASV00010","Shewanella",1746
"56","1337_238_S238_L001","ASV00068","Glaciecola",1739
"57","1337_237_S237_L001","ASV00048","Colwellia",1723
"58","1337_216_S216_L001","ASV00029","Oceaniserpentilla",1704
"59","1337_223_S223_L001","ASV00004","Synechococcus CC9902",1651
"60","1337_225_S225_L001","ASV00048","Colwellia",1616
"61","1337_214_S214_L001","ASV00001","Clade Ia",1582
"62","1337_213_S213_L001","ASV00003","Clade Ia",1573
"63","1337_213_S213_L001","ASV00061",NA,1540
"64","1337_223_S223_L001","ASV00012","Acinetobacter",1527
"65","1337_224_S224_L001","ASV00025","Pseudophaeobacter",1526
"66","1337_221_S221_L001","ASV00053","Colwellia",1514
"67","1337_217_S217_L001","ASV00012","Acinetobacter",1447
"68","1337_222_S222_L001","ASV00003","Clade Ia",1410
"69","1337_237_S237_L001","ASV00053","Colwellia",1410
"70","1337_219_S219_L001","ASV00074","Colwellia",1403
"71","1337_225_S225_L001","ASV00053","Colwellia",1379
"72","1337_212_S212_L001","ASV00025","Pseudophaeobacter",1370
"73","1337_214_S214_L001","ASV00002","Prochlorococcus MIT9313",1352
"74","1337_225_S225_L001","ASV00029","Oceaniserpentilla",1351
"75","1337_223_S223_L001","ASV00003","Clade Ia",1325
"76","1337_240_S240_L001","ASV00048","Colwellia",1269
"77","1337_221_S221_L001","ASV00048","Colwellia",1168
"78","1337_212_S212_L001","ASV00002","Prochlorococcus MIT9313",1117
"79","1337_225_S225_L001","ASV00001","Clade Ia",1105
"80","1337_214_S214_L001","ASV00025","Pseudophaeobacter",1089
"81","1337_220_S220_L001","ASV00003","Clade Ia",1085
"82","1337_227_S227_L001","ASV00012","Acinetobacter",1066
"83","1337_221_S221_L001","ASV00002","Prochlorococcus MIT9313",1013
"84","1337_212_S212_L001","ASV00003","Clade Ia",1008
"85","1337_242_S242_L001","ASV00048","Colwellia",987
"86","1337_214_S214_L001","ASV00009","Glaciecola",978
"87","1337_240_S240_L001","ASV00053","Colwellia",892
"88","1337_221_S221_L001","ASV00003","Clade Ia",837
"89","1337_214_S214_L001","ASV00003","Clade Ia",828
"90","1337_224_S224_L001","ASV00061",NA,827
"91","1337_242_S242_L001","ASV00009","Glaciecola",819
"92","1337_216_S216_L001","ASV00001","Clade Ia",808
"93","1337_216_S216_L001","ASV00074","Colwellia",797
"94","1337_220_S220_L001","ASV00002","Prochlorococcus MIT9313",784
"95","1337_219_S219_L001","ASV00001","Clade Ia",783
"96","1337_225_S225_L001","ASV00061",NA,747
"97","1337_224_S224_L001","ASV00074","Colwellia",743
"98","1337_216_S216_L001","ASV00004","Synechococcus CC9902",734
"99","1337_237_S237_L001","ASV00004","Synechococcus CC9902",730
"100","1337_225_S225_L001","ASV00074","Colwellia",688
"101","1337_238_S238_L001","ASV00025","Pseudophaeobacter",658
"102","1337_222_S222_L001","ASV00004","Synechococcus CC9902",655
"103","1337_219_S219_L001","ASV00008","Shewanella",638
"104","1337_238_S238_L001","ASV00004","Synechococcus CC9902",617
"105","1337_242_S242_L001","ASV00053","Colwellia",615
"106","1337_219_S219_L001","ASV00061",NA,614
"107","1337_238_S238_L001","ASV00043","Pseudoalteromonas",595
"108","1337_224_S224_L001","ASV00001","Clade Ia",589
"109","1337_214_S214_L001","ASV00053","Colwellia",582
"110","1337_219_S219_L001","ASV00010","Shewanella",572
"111","1337_238_S238_L001","ASV00048","Colwellia",559
"112","1337_242_S242_L001","ASV00043","Pseudoalteromonas",516
"113","1337_225_S225_L001","ASV00003","Clade Ia",504
"114","1337_216_S216_L001","ASV00061",NA,493
"115","1337_224_S224_L001","ASV00008","Shewanella",488
"116","1337_238_S238_L001","ASV00053","Colwellia",472
"117","1337_214_S214_L001","ASV00048","Colwellia",471
"118","1337_224_S224_L001","ASV00010","Shewanella",467
"119","1337_219_S219_L001","ASV00012","Acinetobacter",463
